Crop,N_Min,N_Max,N_Avg,P_Min,P_Max,P_Avg,K_Min,K_Max,K_Avg,Temp_Min,Temp_Max,Temp_Avg,Humidity_Min,Humidity_Max,Humidity_Avg,pH_Min,pH_Max,pH_Avg,Rainfall_Min,Rainfall_Max,Rainfall_Avg,Samples
Rice,60,99,79.9,35,60,47.6,35,45,39.9,20.0,26.9,23.7,80.1,85.0,82.3,5.0,7.9,6.4,183.0,299.0,236.2,100
Maize,60,100,77.8,35,60,48.4,15,25,19.8,18.0,26.5,22.4,55.3,74.8,65.1,5.5,7.0,6.2,61.0,110.0,84.8,100
Cotton,100,140,117.8,35,60,46.2,15,25,19.6,22.0,26.0,24.0,75.0,84.9,79.8,5.8,8.0,6.9,61.0,100.0,80.4,100
Banana,80,120,100.2,70,95,82.0,45,55,50.0,25.0,29.9,27.4,75.0,85.0,80.4,5.5,6.5,6.0,90.0,120.0,104.6,100
Apple,0,40,20.8,120,145,134.2,195,205,199.9,21.0,24.0,22.6,90.0,94.9,92.3,5.5,6.5,5.9,100.0,125.0,112.7,100
Mango,0,40,20.1,15,40,27.2,25,35,29.9,27.0,36.0,31.2,45.0,55.0,50.2,4.5,7.0,5.8,89.0,101.0,94.7,100
Grapes,0,40,23.2,120,145,132.5,195,205,200.1,8.8,41.9,23.8,80.0,84.0,81.9,5.5,6.5,6.0,65.0,75.0,69.6,100
Orange,0,40,19.6,5,30,16.6,5,15,10.0,10.0,34.9,22.8,90.0,95.0,92.2,6.0,8.0,7.0,100.0,120.0,110.5,100
Pomegranate,0,40,18.9,5,30,18.8,35,45,40.2,18.1,25.0,21.8,85.1,95.0,90.1,5.6,7.2,6.4,103.0,112.0,107.5,100
Chickpea,20,60,40.1,55,80,67.8,75,85,79.9,17.0,21.0,18.9,14.3,20.0,16.9,6.0,8.9,7.3,65.0,95.0,80.1,100
Kidneybeans,0,40,20.8,55,80,67.5,15,25,20.0,15.3,24.9,20.1,18.1,25.0,21.6,5.5,6.0,5.7,60.0,150.0,105.9,100
Lentil,0,40,18.8,55,80,68.4,15,25,19.4,18.1,29.9,24.5,60.1,69.9,64.8,5.9,7.8,6.9,35.0,55.0,45.7,100
Coffee,80,120,101.2,15,40,28.7,25,35,29.9,23.1,27.9,25.5,50.0,69.9,58.9,6.0,7.5,6.8,115.0,199.0,158.1,100
Coconut,0,40,22.0,5,30,16.9,25,35,30.6,25.0,29.9,27.4,90.0,100.0,94.8,5.5,6.5,6.0,131.0,226.0,175.7,100
Pigeonpeas,0,40,20.7,55,80,67.7,15,25,20.3,18.3,37.0,27.7,30.4,69.7,48.1,4.5,7.4,5.8,90.0,199.0,149.5,100
