Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9931818181818182,0.004251883394061294
Naive Bayes,0.9954545454545455,0.9958677685950413,0.9954545454545455,0.9954431533378901,0.9943181818181819,0.005081972676135881
Gradient Boosting,0.9886363636363636,0.989742141916055,0.9886363636363636,0.9887226097483733,0.9875,0.00686536703045143
Neural Network,0.9886363636363636,0.9887445887445887,0.9886363636363636,0.9886349422934789,0.9863636363636363,0.006577180058403546
SVM,0.9840909090909091,0.9856099105110961,0.9840909090909091,0.9840381050638686,0.9761363636363637,0.00753778361444409
K-Nearest Neighbors,0.9795454545454545,0.9803555030827759,0.9795454545454545,0.9792832328133997,0.965340909090909,0.0074948329308369135
Decision Tree,0.9795454545454545,0.9805981896890988,0.9795454545454545,0.979423151374371,0.9852272727272726,0.0074948329308368936
Logistic Regression,0.9727272727272728,0.974021729904083,0.9727272727272728,0.9724640256149185,0.9676136363636363,0.011306675421666133
AdaBoost,0.175,0.11209861967437726,0.175,0.08559519245760285,0.3068181818181818,0.04726507805246687
